id_pokedex,nombre,especie,generacion,tipo_1,tipo_2,numero_tipos,ps,ataque,defensa,ataque_especial,defensa_especial,velocidad,total_estadisticas_base,altura_m,peso_kg,experiencia_base,habilidad_1,habilidad_2,habilidad_oculta,color,forma,habitat,ritmo_crecimiento,grupos_huevo,es_legendario,es_mitico,es_bebe,tasa_captura,felicidad_base,contador_eclosion,tasa_genero,descripcion,url_sprite,es_tipo_dual,imc,proporcion_ataque_defensa,total_fisico,total_especial,total_ofensivo,total_defensivo,distribucion_genero,nivel_estadisticas
1,Bulbasaur,Pokémon Semilla,Generacion 1,planta,veneno,2,45,49,49,65,65,45,318,0.7,6.9,64,Espesura,,Clorofila,verde,cuadrupedo,pradera,medio_lento,"monstruo, planta",Falso,Falso,Falso,45,70,20,1,Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,Verdadero,14.1,1.0,98,130,159,159,88% Macho / 12% Hembra,Debajo del promedio (300-399)
2,Ivysaur,Pokémon Semilla,Generacion 1,planta,veneno,2,60,62,63,80,80,60,405,1.0,13.0,142,Espesura,,Clorofila,verde,cuadrupedo,pradera,medio_lento,"monstruo, planta",Falso,Falso,Falso,45,70,20,1,"Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,Verdadero,13.0,0.98,125,160,202,203,88% Macho / 12% Hembra,Promedio (400-499)
3,Venusaur,Pokémon Semilla,Generacion 1,planta,veneno,2,80,82,83,100,100,80,525,2.0,100.0,236,Espesura,,Clorofila,verde,cuadrupedo,pradera,medio_lento,"monstruo, planta",Falso,Falso,Falso,45,70,20,1,Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,Verdadero,25.0,0.99,165,200,262,263,88% Macho / 12% Hembra,Fuerte (500-599)
4,Charmander,Pokémon Lagartija,Generacion 1,fuego,,1,39,52,43,60,50,65,309,0.6,8.5,62,Mar Llamas,,Poder Solar,rojo,erguido,montana,medio_lento,"monstruo, dragon",Falso,Falso,Falso,45,70,20,1,La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,Falso,23.6,1.21,95,110,177,132,88% Macho / 12% Hembra,Debajo del promedio (300-399)
5,Charmeleon,Pokémon Llama,Generacion 1,fuego,,1,58,64,58,80,65,80,405,1.1,19.0,142,Mar Llamas,,Poder Solar,rojo,erguido,montana,medio_lento,"monstruo, dragon",Falso,Falso,Falso,45,70,20,1,"Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,Falso,15.7,1.1,122,145,224,181,88% Macho / 12% Hembra,Promedio (400-499)
6,Charizard,Pokémon Llama,Generacion 1,fuego,volador,2,78,84,78,109,85,100,534,1.7,90.5,240,Mar Llamas,,Poder Solar,rojo,erguido,montana,medio_lento,"monstruo, dragon",Falso,Falso,Falso,45,70,20,1,"Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,Verdadero,31.3,1.08,162,194,293,241,88% Macho / 12% Hembra,Fuerte (500-599)
7,Squirtle,Pokémon Tortuguita,Generacion 1,agua,,1,44,48,65,50,64,43,314,0.5,9.0,63,Torrente,,Cura Lluvia,azul,erguido,orilla_agua,medio_lento,"monstruo, agua1",Falso,Falso,Falso,45,70,20,1,Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,Falso,36.0,0.74,113,114,141,173,88% Macho / 12% Hembra,Debajo del promedio (300-399)
8,Wartortle,Pokémon Tortuga,Generacion 1,agua,,1,59,63,80,65,80,58,405,1.0,22.5,142,Torrente,,Cura Lluvia,azul,erguido,orilla_agua,medio_lento,"monstruo, agua1",Falso,Falso,Falso,45,70,20,1,"Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,Falso,22.5,0.79,143,145,186,219,88% Macho / 12% Hembra,Promedio (400-499)
9,Blastoise,Pokémon Armazón,Generacion 1,agua,,1,79,83,100,85,105,78,530,1.6,85.5,239,Torrente,,Cura Lluvia,azul,erguido,orilla_agua,medio_lento,"monstruo, agua1",Falso,Falso,Falso,45,70,20,1,"Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,Falso,33.4,0.83,183,190,246,284,88% Macho / 12% Hembra,Fuerte (500-599)
10,Caterpie,Pokémon Gusano,Generacion 1,bicho,,1,45,30,35,20,20,45,195,0.3,2.9,39,Polvo Escudo,,Fuga,verde,armadura,bosque,medio,bicho,Falso,Falso,Falso,255,70,15,4,"Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,Falso,32.2,0.86,65,40,95,100,50% Macho / 50% Hembra,Debil (<300)
11,Metapod,Pokémon Capullo,Generacion 1,bicho,,1,50,20,55,25,25,30,205,0.7,9.9,72,Mudar,,,verde,serpentino,bosque,medio,bicho,Falso,Falso,Falso,120,70,15,4,Su frágil cuerpo está recubierto de una coraza dura como el acero. Permanece quieto en su desarrollo.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,Falso,20.2,0.36,75,50,75,130,50% Macho / 50% Hembra,Debil (<300)
12,Butterfree,Pokémon Mariposa,Generacion 1,bicho,volador,2,60,45,50,90,80,70,395,1.1,32.0,178,Ojo Compuesto,,Cromolente,blanco,alas_insecto,bosque,medio,bicho,Falso,Falso,Falso,45,70,15,4,Adora el néctar de las flores. Puede localizar hasta las más pequeñas cantidades de polen.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,Verdadero,26.4,0.9,95,170,205,190,50% Macho / 50% Hembra,Debajo del promedio (300-399)
13,Weedle,Pokémon Oruga,Generacion 1,bicho,veneno,2,40,35,30,20,20,50,195,0.3,3.2,39,Polvo Escudo,,Fuga,marron,armadura,bosque,medio,bicho,Falso,Falso,Falso,255,70,15,4,Suele habitar bosques y praderas. Tiene un afilado y venenoso aguijón de unos 5 cm encima de la cabeza.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,Verdadero,35.6,1.17,65,40,105,90,50% Macho / 50% Hembra,Debil (<300)
14,Kakuna,Pokémon Capullo,Generacion 1,bicho,veneno,2,45,25,50,25,25,35,205,0.6,10.0,72,Mudar,,,amarillo,serpentino,bosque,medio,bicho,Falso,Falso,Falso,120,70,15,4,"Casi incapaz de moverse, este Pokémon solo puede endurecer su caparazón para protegerse.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,Verdadero,27.8,0.5,75,50,85,120,50% Macho / 50% Hembra,Debil (<300)
15,Beedrill,Pokémon Abeja Veneno,Generacion 1,bicho,veneno,2,65,90,40,45,80,75,395,1.0,29.5,178,Enjambre,,Francotirador,amarillo,alas_insecto,bosque,medio,bicho,Falso,Falso,Falso,45,70,15,4,Tiene 3 aguijones venenosos en sus patas y cola. Suelen pinchar a sus enemigos repetidas veces.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,Verdadero,29.5,2.25,130,125,210,185,50% Macho / 50% Hembra,Debajo del promedio (300-399)
16,Pidgey,Pokémon Pajarito,Generacion 1,normal,volador,2,40,45,40,35,35,56,251,0.3,1.8,50,Vista Lince,Tumbos,Sacapecho,marron,alas,bosque,medio_lento,volador,Falso,Falso,Falso,255,70,15,4,Muy común en bosques y selvas. Aletea al nivel del suelo para levantar la gravilla.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,Verdadero,20.0,1.12,85,70,136,115,50% Macho / 50% Hembra,Debil (<300)
17,Pidgeotto,Pokémon Pájaro,Generacion 1,normal,volador,2,63,60,55,50,50,71,349,1.1,30.0,122,Vista Lince,Tumbos,Sacapecho,marron,alas,bosque,medio_lento,volador,Falso,Falso,Falso,120,70,15,4,Tiene unas garras desarrolladas. Puede atrapar un Exeggcute y transportarlo desde una distancia de casi 100 km.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,Verdadero,24.8,1.09,115,100,181,168,50% Macho / 50% Hembra,Debajo del promedio (300-399)
18,Pidgeot,Pokémon Pájaro,Generacion 1,normal,volador,2,83,80,75,70,70,101,479,1.5,39.5,216,Vista Lince,Tumbos,Sacapecho,marron,alas,bosque,medio_lento,volador,Falso,Falso,Falso,45,70,15,4,"Cuando caza, vuela muy deprisa a ras del agua y sorprende a inocentes presas como Magikarp.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,Verdadero,17.6,1.07,155,140,251,228,50% Macho / 50% Hembra,Promedio (400-499)
19,Rattata,Pokémon Ratón,Generacion 1,normal,,1,30,56,35,25,35,72,253,0.3,3.5,51,Fuga,Agallas,Entusiasmo,morado,cuadrupedo,pradera,medio,tierra,Falso,Falso,Falso,255,70,15,4,"Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,Falso,38.9,1.6,91,60,153,100,50% Macho / 50% Hembra,Debil (<300)
20,Raticate,Pokémon Ratón,Generacion 1,normal,,1,55,81,60,50,70,97,413,0.7,18.5,145,Fuga,Agallas,Entusiasmo,marron,cuadrupedo,pradera,medio,tierra,Falso,Falso,Falso,127,70,15,4,Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,Falso,37.8,1.35,141,120,228,185,50% Macho / 50% Hembra,Promedio (400-499)
21,Spearow,Pokémon Pajarito,Generacion 1,normal,volador,2,40,60,30,31,31,70,262,0.3,2.0,52,Vista Lince,,Francotirador,marron,alas,terreno_aspero,medio,volador,Falso,Falso,Falso,255,70,15,4,"Muy protector de su territorio, mueve sus cortas alas sin descanso para lanzarse a toda velocidad.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,Verdadero,22.2,2.0,90,62,161,101,50% Macho / 50% Hembra,Debil (<300)
22,Fearow,Pokémon Pico,Generacion 1,normal,volador,2,65,90,65,61,61,100,442,1.2,38.0,155,Vista Lince,,Francotirador,marron,alas,terreno_aspero,medio,volador,Falso,Falso,Falso,90,70,15,4,"Con sus enormes y magníficas alas, puede seguir volando sin tener que aterrizar para descansar.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,Verdadero,26.4,1.38,155,122,251,191,50% Macho / 50% Hembra,Promedio (400-499)
23,Ekans,Pokémon Serpiente,Generacion 1,veneno,,1,35,60,44,40,54,55,288,2.0,6.9,58,Intimidación,Mudar,Nerviosismo,morado,serpentino,pradera,medio,"tierra, dragon",Falso,Falso,Falso,255,70,20,4,"Cuanto más viejo, más crece este Pokémon. Por la noche, descansa en las ramas de los árboles.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,Falso,1.7,1.36,104,94,155,133,50% Macho / 50% Hembra,Debil (<300)
24,Arbok,Pokémon Cobra,Generacion 1,veneno,,1,60,95,69,65,79,80,448,3.5,65.0,157,Intimidación,Mudar,Nerviosismo,morado,serpentino,pradera,medio,"tierra, dragon",Falso,Falso,Falso,90,70,20,4,El dibujo que tiene en la panza aterroriza. Los rivales más débiles salen huyendo al verlo.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,Falso,5.3,1.38,164,144,240,208,50% Macho / 50% Hembra,Promedio (400-499)
25,Pikachu,Pokémon Ratón,Generacion 1,electrico,,1,35,55,40,50,50,90,320,0.4,6.0,112,Elec. Estática,,Pararrayos,amarillo,cuadrupedo,bosque,medio,"tierra, hada",Falso,Falso,Falso,190,70,10,4,"Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,Falso,37.5,1.38,95,100,195,125,50% Macho / 50% Hembra,Debajo del promedio (300-399)
